X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99	X100	X101	X102	X103
1	4	4	4	4	4	4	3.44444444444444	2.94736842105263	1.05555555555556	1	0.777777777777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.894736842105263	1.66666666666667	3	3	3.52631578947368	4	4	2.31578947368421	0	0	0	0	0	0	0	0	0	0	0
2	6.1875	6.1875	6.16477272727273	5.97679924242424	5.49548748353096	5.21070075757576	5.04928977272727	4.88285984848485	4.50710227272727	4.01041666666667	3.51079545454545	3.29333003952569	3.09090909090909	2.73863636363636	2.22585227272727	1.875	1.78236166007905	1.70397727272727	1.21278409090909	0.818181818181818	0.259881422924901	0	0.0961538461538462	0.3125	0.259615384615385	0.25	0.25	0.213942307692308	0.417067307692308	1.34375	1.29166666666667	1.25	1.13541666666667	0.886363636363636	0.8125	0.760416666666667	0.723958333333333	0.630208333333333	0.625	0.598958333333333	0.5625	0.526041666666667	0.427083333333333	0.375	0.286458333333333	0.09375	0.03125	0	0	0	0	0	0	0	0.00961538461538462	0.375	0.375	0.324519230769231	0.295833333333333	0.0817307692307692	0.0625	0.0625	0.0600961538461538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0284090909090909	0.102272727272727	0.471590909090909	1.4291351010101	1.69400703463203	1.98068181818182	2.32225378787879	2.67881944444444	3.20271239177489	3.84363162878788	4.20454545454546	4.61150568181818	5.43839962121212	6.19183420745921	6.77861487470862	7.41649305555556	8.38573232323232	9.47967657342657	10.1819318702131	10.6238557449495	10.8557692307692	10.875
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0714285714285714	1	1.92857142857143	3.14285714285714	6.92857142857143	8	8	8.64285714285714	20.6428571428571	30	30	18.2142857142857	15	15	15	15	14.0714285714286	13.5	12	9	7	7	6.5	3.07142857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	10.1428571428571	9.64103352787563	8.65955919080919	7.71152170198223	6.72280844155844	5.15355722708664	4.12173937173937	3.64265595515596	3.35618131868132	2.91849816849817	2.49761904761905	2.05494505494506	1.59203296703297	0.964285714285714	0.71875	0.558608058608059	0.360639360639361	0.116883116883117	0.0454545454545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012987012987013	0.0714285714285714	0.0714285714285714	0.0714285714285714	0.225618131868132	0.40625	0.482142857142857	0.736607142857143	0.932773109243697	1.20692155067155	1.56364155581261	2.08778721278721	2.57249703707738	3.79073426573427	5.35474927849928	7.09175281954887	8.37844354719355	9.50451456438299	10.0678571428571
